element_num,depth,bounds,attributes,parent_num
0,0,"[0,0][0,0]","",
1,1,"[0,0][402,874]","accessibilityText=Flent Secured; enabled=true",0
2,2,"[0,0][402,874]","enabled=true",1
3,3,"[0,0][402,874]","enabled=true",2
4,4,"[0,0][402,874]","enabled=true",3
5,5,"[0,0][402,874]","enabled=true",4
6,6,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",5
7,7,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",6
8,8,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",7
9,9,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",8
10,10,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",9
11,11,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",10
12,12,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",11
13,13,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",12
14,14,"[0,0][402,874]","enabled=true",13
15,15,"[0,0][402,874]","enabled=true",14
16,16,"[0,0][402,874]","enabled=true",15
17,17,"[0,0][402,874]","enabled=true",16
18,18,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",17
19,19,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",18
20,20,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",19
21,21,"[0,0][402,874]","enabled=true",20
22,22,"[0,0][402,874]","enabled=true",21
23,23,"[0,0][402,874]","enabled=true",22
24,24,"[0,0][402,874]","enabled=true",23
25,25,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",24
26,26,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",25
27,27,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; resource-id=select-method-screen; enabled=true",26
28,28,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days 2026-02-01 Base rent ₹ 30,000 Maintenance ₹2,000 Other charges ₹500 Payable Rent ₹  25,000 🔒 ₹200 cashback waiting for you Choose a
Payment Method Credit Card, ₹325 fee UPI, Free Net Banking, ₹10 fee Set up Credit Card Complete setup to unlock cashback on payments. Horizontal scroll bar, 1 page; enabled=true",27
