element_num,depth,bounds,attributes,parent_num
0,0,"[0,0][0,0]","",
1,1,"[0,0][402,874]","accessibilityText=Flent Secured; enabled=true",0
2,2,"[0,0][402,874]","enabled=true",1
3,3,"[0,0][402,874]","enabled=true",2
4,4,"[0,0][402,874]","enabled=true",3
5,5,"[0,0][402,874]","enabled=true",4
6,6,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",5
7,7,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",6
8,8,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",7
9,9,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",8
10,10,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",9
11,11,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",10
12,12,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",11
13,13,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",12
14,14,"[0,0][402,874]","enabled=true",13
15,15,"[0,0][402,874]","enabled=true",14
16,16,"[0,0][402,874]","enabled=true",15
17,17,"[0,0][402,874]","enabled=true",16
18,18,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",17
19,19,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",18
20,20,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",19
21,21,"[0,0][402,874]","enabled=true",20
22,22,"[0,0][402,874]","enabled=true",21
23,23,"[0,0][402,874]","enabled=true",22
24,24,"[0,0][402,874]","enabled=true",23
25,25,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",24
26,26,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",25
27,27,"[0,0][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",26
28,28,"[0,62][402,874]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",27
29,29,"[0,62][402,749]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500 Horizontal scroll bar, 1 page; enabled=true",28
30,30,"[0,62][402,749]","enabled=true",29
